Date,Year,Category,Payee,Description,Location,Zip Code,Type,Trx Numbers,Amount,,
10/9/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 2,94020,Cash in,,533.39,,
6/15/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 2,94020,Cash out,,583.8,,
12/18/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,524.79,,
9/14/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,83.16,,
6/19/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 7,94025,Cash out,,593.46,,
11/1/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 4,94404,Cash out,,39.06,,
4/12/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,582.75,,
5/21/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,125000,,
3/2/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 8,94020,Cash in,,5000,,
4/4/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 4,94404,Cash in,,5248.1,,
5/13/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 7,94025,Cash out,,1990.8,,
11/6/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,2753.1,,
1/24/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,100.8,,
3/7/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,1134,,
3/8/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 10,94070,Cash out,,3105.9,,
9/6/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,5191.2,,
6/19/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 9,22180,Cash out,,5894,,
12/23/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 4,94404,Cash in,,7021.3,,
10/4/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 5,94401,Cash out,,2240,,
6/14/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 10,94070,Cash in,,9380.8,,
1/24/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 4,94404,Cash in,,5434,,
6/17/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,5455.8,,
1/20/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 10,94070,Cash out,,4277.7,,
1/19/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,5859,,
1/28/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,3331.9,,
2/1/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 7,94025,Cash in,,1901.9,,
10/1/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 6,94002,Cash in,,8279.7,,
3/31/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 6,94002,Cash out,,2879.1,,
1/30/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 6,94002,Cash in,,13370.5,,
11/29/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 6,94002,Cash out,,5537.7,,
6/4/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 2,94020,Cash out,,833,,
2/22/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,1323,,
3/8/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 5,94401,Cash in,,2702.7,,
12/25/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,12369.5,,
4/9/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,4277.7,,
8/15/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 4,94404,Cash out,,5840.1,,
6/30/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 2,94020,Cash out,,598.5,,
3/25/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,573.3,,
11/24/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,13556.4,,
3/17/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 3,94003,Cash out,,3439.8,,
4/27/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 5,94401,Cash out,,3080.7,,
6/1/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 4,94404,Cash out,,573.3,,
5/11/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 7,94025,Cash out,,4926.6,,
8/22/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,5229,,
10/6/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,100000,,
8/21/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,6048,,
12/28/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 10,94070,Cash out,,5663.7,,
2/20/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 9,22180,Cash out,,4977,,
6/9/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,5305.3,,
3/19/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 10,94070,Cash out,,3124.8,,
1/20/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,1593.9,,
5/4/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,7593.3,,
1/14/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 7,94025,Cash out,,5481,,
5/5/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 6,94002,Cash in,,10439,,
3/9/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 4,94404,Cash out,,2564.1,,
6/25/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 4,94404,Cash out,,2740.5,,
1/5/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,567,,
4/3/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,2690.1,,
4/1/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,14199.9,,
4/20/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,5940.9,,
5/8/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 2,94020,Cash in,,3803.8,,
9/24/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 3,94003,Cash out,,1820,,
2/21/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,1401.4,,
8/3/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 5,94401,Cash out,,5871.6,,
1/8/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,5607,,
3/5/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 9,22180,Cash out,,5052.6,,
8/19/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 6,94002,Cash out,,3005.1,,
12/24/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 4,94404,Cash in,,9295,,
5/8/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,721,,
5/1/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,4347,,
3/10/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 5,94401,Cash in,,5634.2,,
9/13/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 10,94070,Cash out,,4032,,
2/5/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 10,94070,Cash out,,359.1,,
2/6/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 10,94070,Cash out,,301,,
5/20/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 7,94025,Cash out,,2800,,
8/13/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 2,94020,Cash in,,10810.8,,
1/29/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 2,94020,Cash out,,6218.1,,
3/1/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 2,94020,Cash out,,2660,,
4/15/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 6,94002,Cash out,,3521.7,,
5/24/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 6,94002,Cash out,,3742.2,,
2/13/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 2,94020,Cash in,,9581,,
3/4/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 7,94025,Cash out,,2116.8,,
6/12/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 2,94020,Cash in,,7421.7,,
8/19/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 5,94401,Cash out,,1140.3,,
4/10/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,5405.4,,
2/17/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 6,94002,Cash out,,2240,,
3/17/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 9,22180,Cash out,,3227,,
8/10/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 2,94020,Cash out,,1644.3,,
4/4/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 6,94002,Cash out,,4044.6,,
12/11/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 10,94070,Cash in,,11625.9,,
1/17/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 2,94020,Cash out,,364,,
2/20/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 3,94003,Cash out,,5355,,
10/5/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 4,94404,Cash out,,2394,,
